"Team","Value","Squad size","Date"
"Salford City","£2.05m",25,"2019-01-01"
"Bolton Wanderers","£17.91m",29,"2019-01-01"
"Oldham Athletic","£3.53m",25,"2019-01-01"
"Barrow AFC","£1.28m",26,"2019-01-01"
"Morecambe FC","£2.41m",28,"2019-01-01"
"Mansfield Town","£4.07m",25,"2019-01-01"
"Tranmere Rovers","£1.85m",24,"2019-01-01"
"Grimsby Town","£2.66m",25,"2019-01-01"
"Leyton Orient","£2.03m",25,"2019-01-01"
"Colchester United","£1.60m",23,"2019-01-01"
"Scunthorpe United","£8.37m",26,"2019-01-01"
"Bradford City","£5.85m",36,"2019-01-01"
"Port Vale FC","£2.18m",28,"2019-01-01"
"Crawley Town","£2.45m",23,"2019-01-01"
"Exeter City","£3.22m",28,"2019-01-01"
"Newport County","£1.69m",20,"2019-01-01"
"Southend United","£5.65m",29,"2019-01-01"
"Cheltenham Town","£2.00m",23,"2019-01-01"
"Cambridge United","£1.98m",28,"2019-01-01"
"Carlisle United","£2.07m",25,"2019-01-01"
"Stevenage FC","£1.85m",29,"2019-01-01"
"Forest Green Rovers","£2.79m",25,"2019-01-01"
"Walsall FC","£3.51m",28,"2019-01-01"
"Harrogate Town","£765Th.",22,"2019-01-01"
