"Team","Value","Squad size","Date"
"Liverpool FC","£211.95m",24,"2012-06-15"
"Manchester City","£446.40m",28,"2012-06-15"
"Chelsea FC","£353.70m",27,"2012-06-15"
"Manchester United","£381.15m",30,"2012-06-15"
"Tottenham Hotspur","£243.68m",30,"2012-06-15"
"Arsenal FC","£275.18m",30,"2012-06-15"
"Everton FC","£126.90m",23,"2012-06-15"
"Leicester City","£31.01m",32,"2012-06-15"
"Wolverhampton Wanderers","£71.93m",27,"2012-06-15"
"Aston Villa","£105.98m",24,"2012-06-15"
"West Ham United","£53.15m",25,"2012-06-15"
"Newcastle United","£124.20m",30,"2012-06-15"
"Brighton & Hove Albion","£15.41m",30,"2012-06-15"
"Southampton FC","£23.76m",31,"2012-06-15"
"Crystal Palace","£17.42m",31,"2012-06-15"
"Fulham FC","£92.70m",31,"2012-06-15"
"Leeds United","£16.29m",25,"2012-06-15"
"Sheffield United","£11.66m",27,"2012-06-15"
"Burnley FC","£20.27m",27,"2012-06-15"
"West Bromwich Albion","£66.60m",27,"2012-06-15"
