"Team","Value","Squad size","Date"
"Salford City","£563Th.",11,"2015-02-01"
"Southend United","£2.95m",27,"2015-02-01"
"Bolton Wanderers","£25.97m",29,"2015-02-01"
"Oldham Athletic","£4.05m",23,"2015-02-01"
"Tranmere Rovers","£3.58m",27,"2015-02-01"
"Morecambe FC","£1.78m",23,"2015-02-01"
"Grimsby Town","£923Th.",27,"2015-02-01"
"Colchester United","£3.17m",28,"2015-02-01"
"Leyton Orient","£9.00m",27,"2015-02-01"
"Mansfield Town","£1.82m",25,"2015-02-01"
"Bradford City","£5.63m",23,"2015-02-01"
"Scunthorpe United","£4.41m",30,"2015-02-01"
"Barrow AFC","£1.19m",29,"2015-02-01"
"Port Vale FC","£3.67m",26,"2015-02-01"
"Cheltenham Town","£1.67m",24,"2015-02-01"
"Exeter City","£3.29m",25,"2015-02-01"
"Carlisle United","£3.24m",24,"2015-02-01"
"Crawley Town","£3.78m",26,"2015-02-01"
"Newport County","£1.33m",24,"2015-02-01"
"Cambridge United","£1.58m",27,"2015-02-01"
"Walsall FC","£2.90m",25,"2015-02-01"
"Forest Green Rovers","£1.91m",24,"2015-02-01"
"Stevenage FC","£2.03m",24,"2015-02-01"
"Harrogate Town","£2.14m",38,"2015-02-01"
