"","Team","Value","Squad size","Date"
"1","Salford City","€800Th.",14,"2015-10-01"
"2","Southend United","€4.00m",26,"2015-10-01"
"3","Bolton Wanderers","€20.10m",30,"2015-10-01"
"4","Oldham Athletic","€6.33m",31,"2015-10-01"
"5","Tranmere Rovers","€1.30m",25,"2015-10-01"
"6","Morecambe FC","€1.83m",24,"2015-10-01"
"7","Grimsby Town","€1.53m",22,"2015-10-01"
"8","Colchester United","€6.13m",30,"2015-10-01"
"9","Leyton Orient","€3.55m",20,"2015-10-01"
"10","Mansfield Town","€2.80m",25,"2015-10-01"
"11","Bradford City","€8.50m",28,"2015-10-01"
"12","Scunthorpe United","€5.03m",25,"2015-10-01"
"13","Barrow AFC","€1.35m",22,"2015-10-01"
"14","Port Vale FC","€3.58m",27,"2015-10-01"
"15","Cheltenham Town","€625Th.",27,"2015-10-01"
"16","Exeter City","€4.35m",26,"2015-10-01"
"17","Carlisle United","€2.20m",25,"2015-10-01"
"18","Crawley Town","€3.03m",23,"2015-10-01"
"19","Newport County","€1.25m",21,"2015-10-01"
"20","Cambridge United","€2.63m",26,"2015-10-01"
"21","Walsall FC","€3.88m",24,"2015-10-01"
"22","Forest Green Rovers","€2.05m",25,"2015-10-01"
"23","Stevenage FC","€2.03m",27,"2015-10-01"
"24","Harrogate Town","€3.08m",44,"2015-10-01"
