"","Team","Value","Squad size","Date"
"1","Liverpool FC","€926.50m",24,"2019-02-15"
"2","Manchester City","€1.13bn",25,"2019-02-15"
"3","Chelsea FC","€861.75m",26,"2019-02-15"
"4","Manchester United","€759.00m",25,"2019-02-15"
"5","Tottenham Hotspur","€801.50m",24,"2019-02-15"
"6","Arsenal FC","€615.50m",25,"2019-02-15"
"7","Everton FC","€426.00m",24,"2019-02-15"
"8","Leicester City","€335.00m",25,"2019-02-15"
"9","Wolverhampton Wanderers","€224.75m",20,"2019-02-15"
"10","Aston Villa","€108.75m",28,"2019-02-15"
"11","West Ham United","€297.00m",26,"2019-02-15"
"12","Newcastle United","€190.15m",26,"2019-02-15"
"13","Southampton FC","€219.10m",24,"2019-02-15"
"14","Brighton & Hove Albion","€173.50m",23,"2019-02-15"
"15","Fulham FC","€254.00m",27,"2019-02-15"
"16","Crystal Palace","€245.95m",26,"2019-02-15"
"17","Leeds United","€58.10m",23,"2019-02-15"
"18","Sheffield United","€38.45m",25,"2019-02-15"
"19","Burnley FC","€174.80m",27,"2019-02-15"
"20","West Bromwich Albion","€111.20m",26,"2019-02-15"
