"Team","Value","Squad size","Date"
"Liverpool FC","£921.92m",31,"2020-08-01"
"Manchester City","£923.27m",36,"2020-08-01"
"Chelsea FC","£747.86m",33,"2020-08-01"
"Manchester United","£655.81m",33,"2020-08-01"
"Tottenham Hotspur","£628.52m",27,"2020-08-01"
"Arsenal FC","£514.67m",28,"2020-08-01"
"Everton FC","£371.16m",30,"2020-08-01"
"Leicester City","£405.45m",29,"2020-08-01"
"Wolverhampton Wanderers","£308.07m",27,"2020-08-01"
"Aston Villa","£211.05m",27,"2020-08-01"
"West Ham United","£275.63m",28,"2020-08-01"
"Newcastle United","£200.07m",29,"2020-08-01"
"Brighton & Hove Albion","£210.78m",38,"2020-08-01"
"Southampton FC","£192.06m",26,"2020-08-01"
"Crystal Palace","£161.48m",23,"2020-08-01"
"Fulham FC","£108.81m",27,"2020-08-01"
"Leeds United","£58.37m",29,"2020-08-01"
"Sheffield United","£117.32m",26,"2020-08-01"
"Burnley FC","£138.62m",24,"2020-08-01"
"West Bromwich Albion","£56.50m",25,"2020-08-01"
