"Team","Value","Squad size","Date"
"Salford City","£563Th.",12,"2015-01-15"
"Southend United","£2.50m",26,"2015-01-15"
"Bolton Wanderers","£26.28m",32,"2015-01-15"
"Oldham Athletic","£4.61m",25,"2015-01-15"
"Tranmere Rovers","£3.04m",26,"2015-01-15"
"Morecambe FC","£1.78m",23,"2015-01-15"
"Grimsby Town","£788Th.",24,"2015-01-15"
"Colchester United","£2.90m",26,"2015-01-15"
"Leyton Orient","£8.10m",26,"2015-01-15"
"Mansfield Town","£1.82m",25,"2015-01-15"
"Bradford City","£5.22m",24,"2015-01-15"
"Scunthorpe United","£3.98m",29,"2015-01-15"
"Barrow AFC","£923Th.",27,"2015-01-15"
"Port Vale FC","£3.67m",26,"2015-01-15"
"Cheltenham Town","£1.94m",26,"2015-01-15"
"Exeter City","£3.20m",26,"2015-01-15"
"Carlisle United","£3.40m",23,"2015-01-15"
"Crawley Town","£2.99m",23,"2015-01-15"
"Newport County","£1.37m",24,"2015-01-15"
"Walsall FC","£2.95m",26,"2015-01-15"
"Forest Green Rovers","£1.87m",23,"2015-01-15"
"Stevenage FC","£1.98m",26,"2015-01-15"
"Cambridge United","£1.85m",30,"2015-01-15"
"Harrogate Town","£2.14m",38,"2015-01-15"
