"","Team","Value","Squad size","Date"
"1","Salford City","€2.53m",27,"2019-04-15"
"2","Southend United","€6.43m",31,"2019-04-15"
"3","Bolton Wanderers","€21.15m",28,"2019-04-15"
"4","Oldham Athletic","€4.13m",27,"2019-04-15"
"5","Tranmere Rovers","€2.78m",26,"2019-04-15"
"6","Morecambe FC","€2.58m",30,"2019-04-15"
"7","Grimsby Town","€2.60m",22,"2019-04-15"
"8","Colchester United","€2.45m",23,"2019-04-15"
"9","Leyton Orient","€2.48m",26,"2019-04-15"
"10","Mansfield Town","€5.03m",26,"2019-04-15"
"11","Bradford City","€8.10m",31,"2019-04-15"
"12","Scunthorpe United","€11.10m",29,"2019-04-15"
"13","Barrow AFC","€1.58m",31,"2019-04-15"
"14","Port Vale FC","€1.90m",28,"2019-04-15"
"15","Cheltenham Town","€2.90m",27,"2019-04-15"
"16","Exeter City","€3.88m",29,"2019-04-15"
"17","Carlisle United","€3.20m",24,"2019-04-15"
"18","Crawley Town","€2.70m",25,"2019-04-15"
"19","Newport County","€2.28m",21,"2019-04-15"
"20","Cambridge United","€3.08m",31,"2019-04-15"
"21","Walsall FC","€2.80m",30,"2019-04-15"
"22","Forest Green Rovers","€3.33m",24,"2019-04-15"
"23","Stevenage FC","€1.83m",27,"2019-04-15"
"24","Harrogate Town","€900Th.",25,"2019-04-15"
