"Team","Value","Squad size","Date"
"AFC Bournemouth","£6.30m",33,"2012-10-15"
"Norwich City","£57.38m",28,"2012-10-15"
"Watford FC","£20.48m",34,"2012-10-15"
"Brentford FC","£4.19m",27,"2012-10-15"
"Cardiff City","£27.63m",26,"2012-10-15"
"Bristol City","£15.57m",27,"2012-10-15"
"Swansea City","£65.03m",24,"2012-10-15"
"Reading FC","£33.08m",25,"2012-10-15"
"Stoke City","£84.24m",27,"2012-10-15"
"Blackburn Rovers","£51.80m",32,"2012-10-15"
"Nottingham Forest","£27.45m",25,"2012-10-15"
"Middlesbrough FC","£30.78m",30,"2012-10-15"
"Derby County","£11.00m",26,"2012-10-15"
"Huddersfield Town","£14.02m",26,"2012-10-15"
"Birmingham City","£24.98m",27,"2012-10-15"
"Millwall FC","£12.69m",27,"2012-10-15"
"Sheffield Wednesday","£14.60m",28,"2012-10-15"
"Preston North End","£4.30m",26,"2012-10-15"
"Queens Park Rangers","£95.40m",27,"2012-10-15"
"Barnsley FC","£8.28m",28,"2012-10-15"
"Luton Town","£1.24m",24,"2012-10-15"
"Coventry City","£8.15m",30,"2012-10-15"
"Rotherham United","£5.18m",22,"2012-10-15"
"Wycombe Wanderers","£3.80m",33,"2012-10-15"
