"Team","Value","Squad size","Date"
"Ipswich Town","£23.58m",27,"2011-04-15"
"Hull City","£23.13m",26,"2011-04-15"
"Sunderland AFC","£106.92m",24,"2011-04-15"
"Blackpool FC","£40.68m",30,"2011-04-15"
"Charlton Athletic","£10.78m",29,"2011-04-15"
"Milton Keynes Dons","£5.36m",21,"2011-04-15"
"Portsmouth FC","£26.37m",22,"2011-04-15"
"Fleetwood Town","£1.08m",29,"2011-04-15"
"Shrewsbury Town","£3.69m",26,"2011-04-15"
"Swindon Town","£5.92m",27,"2011-04-15"
"Oxford United","£3.33m",24,"2011-04-15"
"Wigan Athletic","£63.90m",24,"2011-04-15"
"Lincoln City","£2.99m",27,"2011-04-15"
"Doncaster Rovers","£12.80m",30,"2011-04-15"
"Gillingham FC","£4.16m",28,"2011-04-15"
"Bristol Rovers","£7.09m",31,"2011-04-15"
"Plymouth Argyle","£9.36m",25,"2011-04-15"
"Burton Albion","£4.01m",28,"2011-04-15"
"Crewe Alexandra","£1.67m",27,"2011-04-15"
"Northampton Town","£4.12m",34,"2011-04-15"
"Peterborough United","£6.91m",27,"2011-04-15"
"Rochdale AFC","£3.98m",26,"2011-04-15"
"AFC Wimbledon","£428Th.",30,"2011-04-15"
"Accrington Stanley","£1.69m",27,"2011-04-15"
