"Team","Value","Squad size","Date"
"Ipswich Town","£21.56m",25,"2015-05-01"
"Hull City","£80.78m",26,"2015-05-01"
"Sunderland AFC","£76.28m",23,"2015-05-01"
"Blackpool FC","£6.23m",25,"2015-05-01"
"Charlton Athletic","£20.93m",30,"2015-05-01"
"Milton Keynes Dons","£10.17m",25,"2015-05-01"
"Portsmouth FC","£4.41m",27,"2015-05-01"
"Fleetwood Town","£3.56m",30,"2015-05-01"
"Shrewsbury Town","£3.47m",25,"2015-05-01"
"Swindon Town","£5.87m",26,"2015-05-01"
"Oxford United","£2.18m",26,"2015-05-01"
"Wigan Athletic","£26.01m",27,"2015-05-01"
"Lincoln City","£540Th.",23,"2015-05-01"
"Doncaster Rovers","£4.73m",25,"2015-05-01"
"Gillingham FC","£2.43m",25,"2015-05-01"
"Bristol Rovers","£1.69m",25,"2015-05-01"
"Plymouth Argyle","£1.96m",25,"2015-05-01"
"Burton Albion","£2.46m",25,"2015-05-01"
"Crewe Alexandra","£3.31m",28,"2015-05-01"
"Northampton Town","£3.96m",26,"2015-05-01"
"Peterborough United","£5.20m",25,"2015-05-01"
"Rochdale AFC","£3.26m",25,"2015-05-01"
"AFC Wimbledon","£1.46m",27,"2015-05-01"
"Accrington Stanley","£1.28m",27,"2015-05-01"
