"","Team","Value","Squad size","Date"
"1","Hull City","€18.55m",29,"2012-06-15"
"2","Ipswich Town","€16.95m",24,"2012-06-15"
"3","Blackpool FC","€20.68m",30,"2012-06-15"
"4","Sunderland AFC","€106.25m",26,"2012-06-15"
"5","Shrewsbury Town","€3.50m",19,"2012-06-15"
"6","Charlton Athletic","€8.78m",25,"2012-06-15"
"7","Fleetwood Town","€825Th.",32,"2012-06-15"
"8","Milton Keynes Dons","€4.85m",20,"2012-06-15"
"9","Oxford United","€4.50m",24,"2012-06-15"
"10","Wigan Athletic","€73.00m",26,"2012-06-15"
"11","Swindon Town","€4.98m",29,"2012-06-15"
"12","Doncaster Rovers","€13.58m",31,"2012-06-15"
"13","Portsmouth FC","€17.90m",26,"2012-06-15"
"14","Burton Albion","€2.70m",23,"2012-06-15"
"15","Gillingham FC","€3.60m",28,"2012-06-15"
"16","Bristol Rovers","€4.70m",25,"2012-06-15"
"17","Plymouth Argyle","€4.73m",27,"2012-06-15"
"18","Northampton Town","€4.13m",24,"2012-06-15"
"19","Lincoln City","€2.08m",33,"2012-06-15"
"20","Peterborough United","€8.48m",20,"2012-06-15"
"21","Rochdale AFC","€3.93m",26,"2012-06-15"
"22","Crewe Alexandra","€1.20m",27,"2012-06-15"
"23","AFC Wimbledon","€825Th.",24,"2012-06-15"
"24","Accrington Stanley","€1.43m",17,"2012-06-15"
