"Team","Value","Squad size","Date"
"Liverpool FC","£493.20m",25,"2018-02-15"
"Manchester City","£714.15m",23,"2018-02-15"
"Chelsea FC","£626.18m",24,"2018-02-15"
"Manchester United","£667.35m",27,"2018-02-15"
"Tottenham Hotspur","£635.40m",24,"2018-02-15"
"Arsenal FC","£443.21m",24,"2018-02-15"
"Everton FC","£308.93m",29,"2018-02-15"
"Leicester City","£190.80m",23,"2018-02-15"
"Wolverhampton Wanderers","£74.30m",25,"2018-02-15"
"Aston Villa","£74.48m",29,"2018-02-15"
"West Ham United","£196.20m",25,"2018-02-15"
"Newcastle United","£141.44m",25,"2018-02-15"
"Brighton & Hove Albion","£104.40m",27,"2018-02-15"
"Southampton FC","£212.04m",26,"2018-02-15"
"Fulham FC","£71.78m",24,"2018-02-15"
"Crystal Palace","£172.31m",28,"2018-02-15"
"Leeds United","£40.50m",29,"2018-02-15"
"Sheffield United","£12.04m",27,"2018-02-15"
"Burnley FC","£113.72m",27,"2018-02-15"
"West Bromwich Albion","£154.62m",26,"2018-02-15"
