"Team","Value","Squad size","Date"
"AFC Bournemouth","£3.31m",25,"2011-08-01"
"Norwich City","£21.06m",34,"2011-08-01"
"Watford FC","£11.48m",30,"2011-08-01"
"Brentford FC","£4.84m",22,"2011-08-01"
"Cardiff City","£25.58m",29,"2011-08-01"
"Bristol City","£17.93m",28,"2011-08-01"
"Swansea City","£18.47m",31,"2011-08-01"
"Stoke City","£72.09m",27,"2011-08-01"
"Reading FC","£18.05m",35,"2011-08-01"
"Blackburn Rovers","£58.50m",23,"2011-08-01"
"Nottingham Forest","£25.11m",27,"2011-08-01"
"Middlesbrough FC","£27.02m",25,"2011-08-01"
"Derby County","£13.82m",30,"2011-08-01"
"Huddersfield Town","£8.80m",31,"2011-08-01"
"Birmingham City","£39.38m",18,"2011-08-01"
"Millwall FC","£8.82m",24,"2011-08-01"
"Sheffield Wednesday","£12.04m",22,"2011-08-01"
"Preston North End","£10.98m",25,"2011-08-01"
"Queens Park Rangers","£37.49m",37,"2011-08-01"
"Barnsley FC","£9.95m",21,"2011-08-01"
"Luton Town","£812Th.",31,"2011-08-01"
"Coventry City","£9.88m",23,"2011-08-01"
"Rotherham United","£3.15m",23,"2011-08-01"
"Wycombe Wanderers","£3.56m",25,"2011-08-01"
