"Team","Value","Squad size","Date"
"Hull City","£76.37m",26,"2016-11-15"
"Ipswich Town","£17.42m",27,"2016-11-15"
"Blackpool FC","£3.08m",25,"2016-11-15"
"Sunderland AFC","£89.55m",25,"2016-11-15"
"Shrewsbury Town","£4.70m",24,"2016-11-15"
"Charlton Athletic","£13.14m",28,"2016-11-15"
"Fleetwood Town","£4.59m",30,"2016-11-15"
"Milton Keynes Dons","£5.90m",27,"2016-11-15"
"Oxford United","£4.37m",29,"2016-11-15"
"Wigan Athletic","£19.10m",27,"2016-11-15"
"Swindon Town","£3.78m",24,"2016-11-15"
"Doncaster Rovers","£3.17m",26,"2016-11-15"
"Portsmouth FC","£3.60m",28,"2016-11-15"
"Burton Albion","£8.10m",26,"2016-11-15"
"Gillingham FC","£5.74m",30,"2016-11-15"
"Bristol Rovers","£3.51m",30,"2016-11-15"
"Plymouth Argyle","£3.67m",25,"2016-11-15"
"Northampton Town","£4.41m",26,"2016-11-15"
"Lincoln City","£1.01m",25,"2016-11-15"
"Peterborough United","£4.03m",25,"2016-11-15"
"Rochdale AFC","£3.62m",26,"2016-11-15"
"Crewe Alexandra","£2.23m",21,"2016-11-15"
"AFC Wimbledon","£2.93m",25,"2016-11-15"
"Accrington Stanley","£3.04m",29,"2016-11-15"
