"Team","Value","Squad size","Date"
"AFC Bournemouth","£104.99m",29,"2017-02-01"
"Norwich City","£61.52m",27,"2017-02-01"
"Watford FC","£118.80m",27,"2017-02-01"
"Brentford FC","£21.65m",24,"2017-02-01"
"Cardiff City","£32.67m",26,"2017-02-01"
"Bristol City","£19.76m",27,"2017-02-01"
"Swansea City","£111.47m",27,"2017-02-01"
"Reading FC","£32.22m",32,"2017-02-01"
"Stoke City","£157.28m",25,"2017-02-01"
"Blackburn Rovers","£20.79m",25,"2017-02-01"
"Nottingham Forest","£33.30m",28,"2017-02-01"
"Middlesbrough FC","£94.28m",25,"2017-02-01"
"Derby County","£58.68m",28,"2017-02-01"
"Huddersfield Town","£17.60m",25,"2017-02-01"
"Birmingham City","£21.60m",25,"2017-02-01"
"Millwall FC","£6.55m",24,"2017-02-01"
"Sheffield Wednesday","£47.52m",29,"2017-02-01"
"Preston North End","£16.20m",29,"2017-02-01"
"Queens Park Rangers","£25.97m",25,"2017-02-01"
"Barnsley FC","£8.46m",27,"2017-02-01"
"Luton Town","£3.29m",27,"2017-02-01"
"Coventry City","£5.04m",26,"2017-02-01"
"Rotherham United","£11.00m",29,"2017-02-01"
"Wycombe Wanderers","£2.93m",24,"2017-02-01"
