"Team","Value","Squad size","Date"
"Liverpool FC","£228.60m",22,"2013-09-01"
"Manchester City","£425.48m",24,"2013-09-01"
"Chelsea FC","£463.28m",29,"2013-09-01"
"Manchester United","£350.33m",29,"2013-09-01"
"Tottenham Hotspur","£333.45m",27,"2013-09-01"
"Arsenal FC","£265.95m",25,"2013-09-01"
"Everton FC","£141.53m",25,"2013-09-01"
"Leicester City","£26.46m",26,"2013-09-01"
"Wolverhampton Wanderers","£21.42m",26,"2013-09-01"
"Aston Villa","£94.50m",28,"2013-09-01"
"West Ham United","£86.18m",25,"2013-09-01"
"Newcastle United","£152.10m",27,"2013-09-01"
"Brighton & Hove Albion","£22.52m",26,"2013-09-01"
"Southampton FC","£97.65m",25,"2013-09-01"
"Crystal Palace","£41.40m",27,"2013-09-01"
"Fulham FC","£85.28m",26,"2013-09-01"
"Leeds United","£18.90m",26,"2013-09-01"
"Sheffield United","£7.43m",27,"2013-09-01"
"Burnley FC","£14.15m",21,"2013-09-01"
"West Bromwich Albion","£73.13m",25,"2013-09-01"
