"","Team","Value","Squad size","Date"
"1","Liverpool FC","€1.09bn",24,"2019-07-15"
"2","Manchester City","€1.26bn",29,"2019-07-15"
"3","Chelsea FC","€868.75m",35,"2019-07-15"
"4","Manchester United","€801.10m",29,"2019-07-15"
"5","Tottenham Hotspur","€947.00m",27,"2019-07-15"
"6","Arsenal FC","€580.75m",28,"2019-07-15"
"7","Everton FC","€470.00m",29,"2019-07-15"
"8","Leicester City","€437.53m",34,"2019-07-15"
"9","Wolverhampton Wanderers","€276.25m",28,"2019-07-15"
"10","Aston Villa","€142.00m",26,"2019-07-15"
"11","West Ham United","€321.25m",28,"2019-07-15"
"12","Newcastle United","€187.50m",27,"2019-07-15"
"13","Southampton FC","€300.00m",31,"2019-07-15"
"14","Brighton & Hove Albion","€204.45m",32,"2019-07-15"
"15","Fulham FC","€199.25m",24,"2019-07-15"
"16","Crystal Palace","€207.70m",23,"2019-07-15"
"17","Leeds United","€91.20m",33,"2019-07-15"
"18","Sheffield United","€47.20m",24,"2019-07-15"
"19","Burnley FC","€203.25m",25,"2019-07-15"
"20","West Bromwich Albion","€79.00m",17,"2019-07-15"
