"Team","Value","Squad size","Date"
"Salford City","-",NA,"2011-08-15"
"Southend United","£3.89m",25,"2011-08-15"
"Bolton Wanderers","£78.84m",26,"2011-08-15"
"Oldham Athletic","£3.13m",25,"2011-08-15"
"Tranmere Rovers","£2.59m",20,"2011-08-15"
"Morecambe FC","£2.63m",25,"2011-08-15"
"Grimsby Town","£1.58m",21,"2011-08-15"
"Colchester United","£5.24m",24,"2011-08-15"
"Leyton Orient","£4.46m",23,"2011-08-15"
"Mansfield Town","£2.00m",24,"2011-08-15"
"Bradford City","£2.57m",34,"2011-08-15"
"Scunthorpe United","£4.10m",23,"2011-08-15"
"Barrow AFC","£540Th.",19,"2011-08-15"
"Port Vale FC","£2.09m",24,"2011-08-15"
"Cheltenham Town","£2.59m",23,"2011-08-15"
"Exeter City","£3.53m",26,"2011-08-15"
"Carlisle United","£4.50m",23,"2011-08-15"
"Crawley Town","£1.85m",23,"2011-08-15"
"Newport County","£878Th.",20,"2011-08-15"
"Walsall FC","£4.25m",22,"2011-08-15"
"Forest Green Rovers","£945Th.",20,"2011-08-15"
"Stevenage FC","£2.77m",24,"2011-08-15"
"Cambridge United","£765Th.",28,"2011-08-15"
"Harrogate Town","£720Th.",19,"2011-08-15"
