"","Team","Value","Squad size","Date"
"1","Liverpool FC","€263.50m",24,"2013-08-01"
"2","Manchester City","€480.25m",25,"2013-08-01"
"3","Chelsea FC","€467.50m",29,"2013-08-01"
"4","Manchester United","€393.25m",31,"2013-08-01"
"5","Tottenham Hotspur","€285.50m",26,"2013-08-01"
"6","Arsenal FC","€303.00m",26,"2013-08-01"
"7","Everton FC","€157.25m",25,"2013-08-01"
"8","Leicester City","€30.25m",25,"2013-08-01"
"9","Wolverhampton Wanderers","€30.35m",29,"2013-08-01"
"10","Aston Villa","€117.25m",31,"2013-08-01"
"11","West Ham United","€87.25m",24,"2013-08-01"
"12","Newcastle United","€159.50m",26,"2013-08-01"
"13","Southampton FC","€96.25m",27,"2013-08-01"
"14","Brighton & Hove Albion","€20.83m",24,"2013-08-01"
"15","Fulham FC","€72.25m",24,"2013-08-01"
"16","Crystal Palace","€37.25m",22,"2013-08-01"
"17","Leeds United","€21.00m",25,"2013-08-01"
"18","Sheffield United","€9.83m",30,"2013-08-01"
"19","Burnley FC","€19.48m",23,"2013-08-01"
"20","West Bromwich Albion","€68.75m",21,"2013-08-01"
