"Team","Value","Squad size","Date"
"Liverpool FC","£247.50m",24,"2010-11-15"
"Manchester City","£321.57m",27,"2010-11-15"
"Chelsea FC","£325.80m",23,"2010-11-15"
"Manchester United","£333.68m",30,"2010-11-15"
"Tottenham Hotspur","£263.43m",28,"2010-11-15"
"Arsenal FC","£272.70m",24,"2010-11-15"
"Everton FC","£158.76m",22,"2010-11-15"
"Leicester City","£28.73m",33,"2010-11-15"
"Wolverhampton Wanderers","£65.25m",26,"2010-11-15"
"Aston Villa","£127.94m",26,"2010-11-15"
"West Ham United","£104.99m",29,"2010-11-15"
"Newcastle United","£70.88m",27,"2010-11-15"
"Brighton & Hove Albion","£5.36m",26,"2010-11-15"
"Southampton FC","£13.88m",28,"2010-11-15"
"Fulham FC","£90.23m",27,"2010-11-15"
"Crystal Palace","£15.44m",29,"2010-11-15"
"Leeds United","£24.82m",33,"2010-11-15"
"Sheffield United","£24.57m",26,"2010-11-15"
"Burnley FC","£31.14m",29,"2010-11-15"
"West Bromwich Albion","£64.13m",26,"2010-11-15"
