"","Team","Value","Squad size","Date"
"1","Hull City","€34.25m",29,"2013-02-01"
"2","Ipswich Town","€20.65m",27,"2013-02-01"
"3","Blackpool FC","€26.83m",35,"2013-02-01"
"4","Sunderland AFC","€119.50m",23,"2013-02-01"
"5","Shrewsbury Town","€4.40m",25,"2013-02-01"
"6","Charlton Athletic","€10.38m",29,"2013-02-01"
"7","Fleetwood Town","€3.28m",29,"2013-02-01"
"8","Milton Keynes Dons","€6.23m",24,"2013-02-01"
"9","Oxford United","€3.25m",25,"2013-02-01"
"10","Wigan Athletic","€73.25m",26,"2013-02-01"
"11","Swindon Town","€5.30m",24,"2013-02-01"
"12","Doncaster Rovers","€7.65m",25,"2013-02-01"
"13","Portsmouth FC","€3.60m",18,"2013-02-01"
"14","Burton Albion","€3.31m",27,"2013-02-01"
"15","Gillingham FC","€2.80m",24,"2013-02-01"
"16","Bristol Rovers","€3.75m",29,"2013-02-01"
"17","Plymouth Argyle","€3.90m",27,"2013-02-01"
"18","Northampton Town","€3.90m",22,"2013-02-01"
"19","Lincoln City","€1.15m",31,"2013-02-01"
"20","Peterborough United","€9.20m",29,"2013-02-01"
"21","Rochdale AFC","€2.25m",24,"2013-02-01"
"22","Crewe Alexandra","€2.25m",26,"2013-02-01"
"23","AFC Wimbledon","€2.75m",29,"2013-02-01"
"24","Accrington Stanley","€3.33m",28,"2013-02-01"
