"Team","Value","Squad size","Date"
"Salford City","£90Th.",4,"2013-12-01"
"Southend United","£2.95m",25,"2013-12-01"
"Bolton Wanderers","£37.08m",25,"2013-12-01"
"Oldham Athletic","£4.48m",27,"2013-12-01"
"Tranmere Rovers","£3.74m",26,"2013-12-01"
"Morecambe FC","£1.96m",22,"2013-12-01"
"Grimsby Town","£1.01m",21,"2013-12-01"
"Colchester United","£3.35m",25,"2013-12-01"
"Leyton Orient","£4.12m",23,"2013-12-01"
"Mansfield Town","£1.26m",29,"2013-12-01"
"Bradford City","£6.53m",24,"2013-12-01"
"Scunthorpe United","£3.96m",28,"2013-12-01"
"Barrow AFC","£518Th.",22,"2013-12-01"
"Port Vale FC","£3.40m",23,"2013-12-01"
"Cheltenham Town","£1.87m",22,"2013-12-01"
"Exeter City","£3.40m",25,"2013-12-01"
"Carlisle United","£4.68m",23,"2013-12-01"
"Crawley Town","£2.61m",22,"2013-12-01"
"Newport County","£1.31m",24,"2013-12-01"
"Walsall FC","£2.93m",26,"2013-12-01"
"Forest Green Rovers","£1.15m",29,"2013-12-01"
"Stevenage FC","£3.78m",26,"2013-12-01"
"Cambridge United","£810Th.",28,"2013-12-01"
"Harrogate Town","£1.55m",34,"2013-12-01"
