"Team","Value","Squad size","Date"
"Hull City","£22.70m",30,"2020-07-15"
"Ipswich Town","£9.20m",26,"2020-07-15"
"Blackpool FC","£5.92m",25,"2020-07-15"
"Sunderland AFC","£5.94m",16,"2020-07-15"
"Charlton Athletic","£13.03m",24,"2020-07-15"
"Shrewsbury Town","£4.84m",19,"2020-07-15"
"Fleetwood Town","£4.30m",24,"2020-07-15"
"Milton Keynes Dons","£2.93m",17,"2020-07-15"
"Oxford United","£4.84m",22,"2020-07-15"
"Wigan Athletic","£23.74m",33,"2020-07-15"
"Swindon Town","£3.42m",23,"2020-07-15"
"Doncaster Rovers","£1.76m",16,"2020-07-15"
"Portsmouth FC","£3.60m",21,"2020-07-15"
"Burton Albion","£3.15m",20,"2020-07-15"
"Gillingham FC","£1.87m",13,"2020-07-15"
"Bristol Rovers","£2.48m",25,"2020-07-15"
"Northampton Town","£1.40m",18,"2020-07-15"
"Plymouth Argyle","£1.64m",18,"2020-07-15"
"Lincoln City","£1.82m",16,"2020-07-15"
"Peterborough United","£3.53m",22,"2020-07-15"
"Rochdale AFC","£1.71m",16,"2020-07-15"
"Crewe Alexandra","£1.17m",24,"2020-07-15"
"AFC Wimbledon","£743Th.",16,"2020-07-15"
"Accrington Stanley","£720Th.",20,"2020-07-15"
