"Team","Value","Squad size","Date"
"Salford City","£1.08m",26,"2016-06-15"
"Southend United","£3.89m",25,"2016-06-15"
"Bolton Wanderers","£11.63m",32,"2016-06-15"
"Oldham Athletic","£3.71m",25,"2016-06-15"
"Tranmere Rovers","£1.94m",28,"2016-06-15"
"Morecambe FC","£1.60m",24,"2016-06-15"
"Grimsby Town","£1.46m",23,"2016-06-15"
"Colchester United","£3.67m",25,"2016-06-15"
"Leyton Orient","£5.72m",27,"2016-06-15"
"Mansfield Town","£1.98m",23,"2016-06-15"
"Bradford City","£4.46m",23,"2016-06-15"
"Scunthorpe United","£3.96m",23,"2016-06-15"
"Barrow AFC","£923Th.",21,"2016-06-15"
"Port Vale FC","£3.24m",28,"2016-06-15"
"Cheltenham Town","£1.17m",26,"2016-06-15"
"Exeter City","£4.23m",29,"2016-06-15"
"Carlisle United","£1.94m",21,"2016-06-15"
"Crawley Town","£2.18m",17,"2016-06-15"
"Newport County","£900Th.",20,"2016-06-15"
"Cambridge United","£2.23m",23,"2016-06-15"
"Walsall FC","£4.25m",23,"2016-06-15"
"Forest Green Rovers","£1.71m",23,"2016-06-15"
"Stevenage FC","£1.67m",26,"2016-06-15"
"Harrogate Town","£2.77m",47,"2016-06-15"
