"","Team","Value","Squad size","Date"
"1","Salford City","€950Th.",26,"2015-12-01"
"2","Southend United","€4.70m",26,"2015-12-01"
"3","Bolton Wanderers","€20.85m",31,"2015-12-01"
"4","Oldham Athletic","€5.50m",32,"2015-12-01"
"5","Tranmere Rovers","€1.85m",30,"2015-12-01"
"6","Morecambe FC","€1.78m",23,"2015-12-01"
"7","Grimsby Town","€1.83m",25,"2015-12-01"
"8","Colchester United","€5.15m",29,"2015-12-01"
"9","Leyton Orient","€4.05m",25,"2015-12-01"
"10","Mansfield Town","€2.93m",26,"2015-12-01"
"11","Bradford City","€7.65m",27,"2015-12-01"
"12","Scunthorpe United","€5.23m",26,"2015-12-01"
"13","Barrow AFC","€1.30m",22,"2015-12-01"
"14","Port Vale FC","€3.65m",27,"2015-12-01"
"15","Cheltenham Town","€950Th.",28,"2015-12-01"
"16","Exeter City","€4.35m",26,"2015-12-01"
"17","Carlisle United","€2.20m",26,"2015-12-01"
"18","Crawley Town","€3.13m",23,"2015-12-01"
"19","Newport County","€1.60m",24,"2015-12-01"
"20","Cambridge United","€2.83m",30,"2015-12-01"
"21","Walsall FC","€3.85m",24,"2015-12-01"
"22","Forest Green Rovers","€2.03m",24,"2015-12-01"
"23","Stevenage FC","€2.85m",32,"2015-12-01"
"24","Harrogate Town","€3.08m",45,"2015-12-01"
