"Team","Value","Squad size","Date"
"Hull City","£70.38m",21,"2015-07-15"
"Ipswich Town","£17.33m",28,"2015-07-15"
"Blackpool FC","£2.77m",19,"2015-07-15"
"Sunderland AFC","£78.08m",24,"2015-07-15"
"Shrewsbury Town","£3.62m",26,"2015-07-15"
"Charlton Athletic","£19.58m",34,"2015-07-15"
"Fleetwood Town","£2.48m",25,"2015-07-15"
"Milton Keynes Dons","£4.41m",24,"2015-07-15"
"Oxford United","£1.69m",25,"2015-07-15"
"Wigan Athletic","£14.36m",25,"2015-07-15"
"Swindon Town","£1.53m",14,"2015-07-15"
"Doncaster Rovers","£3.78m",21,"2015-07-15"
"Portsmouth FC","£4.12m",24,"2015-07-15"
"Burton Albion","£2.51m",26,"2015-07-15"
"Gillingham FC","£1.80m",22,"2015-07-15"
"Bristol Rovers","£1.04m",24,"2015-07-15"
"Plymouth Argyle","£2.12m",21,"2015-07-15"
"Northampton Town","£3.22m",20,"2015-07-15"
"Lincoln City","£675Th.",20,"2015-07-15"
"Peterborough United","£5.51m",24,"2015-07-15"
"Rochdale AFC","£2.95m",24,"2015-07-15"
"Crewe Alexandra","£2.07m",25,"2015-07-15"
"AFC Wimbledon","£1.80m",23,"2015-07-15"
"Accrington Stanley","£675Th.",22,"2015-07-15"
