"","Team","Value","Squad size","Date"
"1","Hull City","€65.78m",25,"2016-06-15"
"2","Ipswich Town","€18.20m",27,"2016-06-15"
"3","Blackpool FC","€3.55m",23,"2016-06-15"
"4","Sunderland AFC","€93.75m",26,"2016-06-15"
"5","Shrewsbury Town","€4.15m",26,"2016-06-15"
"6","Charlton Athletic","€22.35m",33,"2016-06-15"
"7","Fleetwood Town","€4.45m",32,"2016-06-15"
"8","Milton Keynes Dons","€6.30m",24,"2016-06-15"
"9","Oxford United","€3.05m",26,"2016-06-15"
"10","Wigan Athletic","€12.73m",31,"2016-06-15"
"11","Swindon Town","€3.25m",24,"2016-06-15"
"12","Doncaster Rovers","€3.90m",21,"2016-06-15"
"13","Portsmouth FC","€4.18m",23,"2016-06-15"
"14","Burton Albion","€3.50m",24,"2016-06-15"
"15","Gillingham FC","€3.75m",24,"2016-06-15"
"16","Bristol Rovers","€1.70m",28,"2016-06-15"
"17","Plymouth Argyle","€2.15m",18,"2016-06-15"
"18","Northampton Town","€3.73m",21,"2016-06-15"
"19","Lincoln City","€1.13m",23,"2016-06-15"
"20","Peterborough United","€5.70m",31,"2016-06-15"
"21","Rochdale AFC","€4.60m",31,"2016-06-15"
"22","Crewe Alexandra","€2.68m",26,"2016-06-15"
"23","AFC Wimbledon","€2.35m",23,"2016-06-15"
"24","Accrington Stanley","€1.38m",26,"2016-06-15"
