"Team","Value","Squad size","Date"
"Liverpool FC","£253.80m",22,"2014-05-15"
"Manchester City","£405.90m",24,"2014-05-15"
"Chelsea FC","£356.18m",24,"2014-05-15"
"Manchester United","£340.65m",26,"2014-05-15"
"Tottenham Hotspur","£244.35m",25,"2014-05-15"
"Arsenal FC","£333.45m",27,"2014-05-15"
"Everton FC","£154.58m",25,"2014-05-15"
"Leicester City","£26.28m",24,"2014-05-15"
"Wolverhampton Wanderers","£15.41m",27,"2014-05-15"
"Aston Villa","£90.90m",29,"2014-05-15"
"West Ham United","£87.03m",26,"2014-05-15"
"Newcastle United","£129.38m",25,"2014-05-15"
"Brighton & Hove Albion","£19.89m",27,"2014-05-15"
"Southampton FC","£100.58m",21,"2014-05-15"
"Crystal Palace","£51.30m",26,"2014-05-15"
"Fulham FC","£74.70m",28,"2014-05-15"
"Leeds United","£20.03m",28,"2014-05-15"
"Sheffield United","£8.46m",26,"2014-05-15"
"Burnley FC","£22.39m",22,"2014-05-15"
"West Bromwich Albion","£72.23m",24,"2014-05-15"
