"Team","Value","Squad size","Date"
"AFC Bournemouth","£3.08m",28,"2011-09-01"
"Norwich City","£19.64m",27,"2011-09-01"
"Watford FC","£12.89m",31,"2011-09-01"
"Brentford FC","£4.52m",24,"2011-09-01"
"Cardiff City","£26.08m",30,"2011-09-01"
"Bristol City","£17.84m",30,"2011-09-01"
"Swansea City","£26.96m",27,"2011-09-01"
"Stoke City","£84.60m",26,"2011-09-01"
"Reading FC","£17.48m",33,"2011-09-01"
"Blackburn Rovers","£59.09m",24,"2011-09-01"
"Nottingham Forest","£26.55m",28,"2011-09-01"
"Middlesbrough FC","£27.56m",26,"2011-09-01"
"Derby County","£15.57m",31,"2011-09-01"
"Huddersfield Town","£8.80m",29,"2011-09-01"
"Birmingham City","£38.14m",28,"2011-09-01"
"Millwall FC","£9.77m",27,"2011-09-01"
"Sheffield Wednesday","£12.80m",28,"2011-09-01"
"Preston North End","£9.95m",27,"2011-09-01"
"Queens Park Rangers","£45.16m",34,"2011-09-01"
"Barnsley FC","£11.18m",27,"2011-09-01"
"Luton Town","£1.15m",27,"2011-09-01"
"Coventry City","£9.81m",25,"2011-09-01"
"Rotherham United","£2.95m",21,"2011-09-01"
"Wycombe Wanderers","£3.17m",24,"2011-09-01"
