"Team","Value","Squad size","Date"
"Hull City","£23.31m",27,"2011-12-01"
"Ipswich Town","£28.49m",26,"2011-12-01"
"Blackpool FC","£27.27m",29,"2011-12-01"
"Sunderland AFC","£96.93m",27,"2011-12-01"
"Charlton Athletic","£11.86m",30,"2011-12-01"
"Shrewsbury Town","£3.42m",23,"2011-12-01"
"Fleetwood Town","£765Th.",34,"2011-12-01"
"Milton Keynes Dons","£5.90m",23,"2011-12-01"
"Oxford United","£5.47m",28,"2011-12-01"
"Wigan Athletic","£63.72m",25,"2011-12-01"
"Swindon Town","£4.93m",30,"2011-12-01"
"Doncaster Rovers","£20.21m",33,"2011-12-01"
"Portsmouth FC","£23.83m",22,"2011-12-01"
"Burton Albion","£3.02m",28,"2011-12-01"
"Gillingham FC","£4.25m",29,"2011-12-01"
"Bristol Rovers","£4.73m",28,"2011-12-01"
"Northampton Town","£3.42m",29,"2011-12-01"
"Plymouth Argyle","£4.30m",28,"2011-12-01"
"Lincoln City","£1.76m",30,"2011-12-01"
"Peterborough United","£5.99m",22,"2011-12-01"
"Rochdale AFC","£4.70m",28,"2011-12-01"
"Crewe Alexandra","£990Th.",28,"2011-12-01"
"AFC Wimbledon","£698Th.",25,"2011-12-01"
"Accrington Stanley","£1.98m",25,"2011-12-01"
