"Team","Value","Squad size","Date"
"Hull City","£70.07m",25,"2016-09-01"
"Ipswich Town","£16.92m",27,"2016-09-01"
"Blackpool FC","£3.17m",27,"2016-09-01"
"Sunderland AFC","£83.48m",25,"2016-09-01"
"Charlton Athletic","£12.51m",30,"2016-09-01"
"Shrewsbury Town","£4.93m",27,"2016-09-01"
"Fleetwood Town","£4.30m",29,"2016-09-01"
"Milton Keynes Dons","£6.03m",27,"2016-09-01"
"Oxford United","£4.10m",30,"2016-09-01"
"Wigan Athletic","£18.52m",29,"2016-09-01"
"Swindon Town","£3.76m",25,"2016-09-01"
"Doncaster Rovers","£3.40m",27,"2016-09-01"
"Portsmouth FC","£3.65m",29,"2016-09-01"
"Burton Albion","£8.17m",26,"2016-09-01"
"Gillingham FC","£5.51m",29,"2016-09-01"
"Bristol Rovers","£2.77m",32,"2016-09-01"
"Northampton Town","£5.18m",26,"2016-09-01"
"Plymouth Argyle","£3.76m",24,"2016-09-01"
"Lincoln City","£743Th.",24,"2016-09-01"
"Peterborough United","£3.58m",25,"2016-09-01"
"Rochdale AFC","£3.89m",28,"2016-09-01"
"Crewe Alexandra","£2.23m",21,"2016-09-01"
"AFC Wimbledon","£2.50m",25,"2016-09-01"
"Accrington Stanley","£2.61m",29,"2016-09-01"
