"","Team","Value","Squad size","Date"
"1","Liverpool FC","€739.50m",30,"2018-06-15"
"2","Manchester City","€1.01bn",28,"2018-06-15"
"3","Chelsea FC","€825.25m",37,"2018-06-15"
"4","Manchester United","€800.50m",30,"2018-06-15"
"5","Tottenham Hotspur","€810.50m",27,"2018-06-15"
"6","Arsenal FC","€524.75m",27,"2018-06-15"
"7","Everton FC","€331.00m",32,"2018-06-15"
"8","Leicester City","€283.50m",27,"2018-06-15"
"9","Wolverhampton Wanderers","€105.03m",35,"2018-06-15"
"10","Aston Villa","€77.00m",27,"2018-06-15"
"11","West Ham United","€221.50m",25,"2018-06-15"
"12","Newcastle United","€165.50m",29,"2018-06-15"
"13","Southampton FC","€247.00m",27,"2018-06-15"
"14","Brighton & Hove Albion","€137.70m",31,"2018-06-15"
"15","Fulham FC","€84.25m",20,"2018-06-15"
"16","Crystal Palace","€196.33m",30,"2018-06-15"
"17","Leeds United","€58.15m",33,"2018-06-15"
"18","Sheffield United","€20.00m",30,"2018-06-15"
"19","Burnley FC","€161.50m",27,"2018-06-15"
"20","West Bromwich Albion","€148.00m",24,"2018-06-15"
