"","Team","Value","Squad size","Date"
"1","Hull City","€12.83m",27,"2020-11-15"
"2","Ipswich Town","€12.45m",29,"2020-11-15"
"3","Blackpool FC","€11.70m",28,"2020-11-15"
"4","Sunderland AFC","€10.45m",26,"2020-11-15"
"5","Shrewsbury Town","€9.48m",30,"2020-11-15"
"6","Charlton Athletic","€9.18m",25,"2020-11-15"
"7","Fleetwood Town","€8.23m",27,"2020-11-15"
"8","Milton Keynes Dons","€5.70m",24,"2020-11-15"
"9","Oxford United","€6.38m",26,"2020-11-15"
"10","Wigan Athletic","€5.45m",32,"2020-11-15"
"11","Swindon Town","€4.63m",25,"2020-11-15"
"12","Doncaster Rovers","€4.55m",25,"2020-11-15"
"13","Portsmouth FC","€4.38m",24,"2020-11-15"
"14","Burton Albion","€4.45m",31,"2020-11-15"
"15","Gillingham FC","€3.80m",24,"2020-11-15"
"16","Bristol Rovers","€3.78m",31,"2020-11-15"
"17","Plymouth Argyle","€3.38m",27,"2020-11-15"
"18","Northampton Town","€3.25m",29,"2020-11-15"
"19","Lincoln City","€3.23m",24,"2020-11-15"
"20","Peterborough United","€2.93m",28,"2020-11-15"
"21","Rochdale AFC","€2.35m",27,"2020-11-15"
"22","Crewe Alexandra","€2.20m",29,"2020-11-15"
"23","AFC Wimbledon","€1.75m",28,"2020-11-15"
"24","Accrington Stanley","€1.35m",28,"2020-11-15"
