"","Team","Value","Squad size","Date"
"1","Liverpool FC","€244.00m",24,"2011-11-15"
"2","Manchester City","€433.50m",25,"2011-11-15"
"3","Chelsea FC","€421.00m",26,"2011-11-15"
"4","Manchester United","€405.30m",28,"2011-11-15"
"5","Tottenham Hotspur","€274.55m",26,"2011-11-15"
"6","Arsenal FC","€291.30m",30,"2011-11-15"
"7","Everton FC","€141.50m",23,"2011-11-15"
"8","Leicester City","€38.30m",25,"2011-11-15"
"9","Wolverhampton Wanderers","€73.50m",23,"2011-11-15"
"10","Aston Villa","€131.55m",24,"2011-11-15"
"11","West Ham United","€72.90m",26,"2011-11-15"
"12","Newcastle United","€103.00m",26,"2011-11-15"
"13","Southampton FC","€18.83m",30,"2011-11-15"
"14","Brighton & Hove Albion","€15.28m",30,"2011-11-15"
"15","Fulham FC","€108.75m",27,"2011-11-15"
"16","Crystal Palace","€21.30m",32,"2011-11-15"
"17","Leeds United","€22.90m",27,"2011-11-15"
"18","Sheffield United","€18.65m",30,"2011-11-15"
"19","Burnley FC","€23.60m",23,"2011-11-15"
"20","West Bromwich Albion","€73.50m",22,"2011-11-15"
