"Team","Value","Squad size","Date"
"Salford City","£1.87m",24,"2018-11-15"
"Southend United","£5.65m",29,"2018-11-15"
"Bolton Wanderers","£18.81m",30,"2018-11-15"
"Oldham Athletic","£3.98m",27,"2018-11-15"
"Tranmere Rovers","£1.96m",28,"2018-11-15"
"Morecambe FC","£2.18m",28,"2018-11-15"
"Grimsby Town","£2.86m",26,"2018-11-15"
"Colchester United","£1.60m",24,"2018-11-15"
"Leyton Orient","£2.03m",25,"2018-11-15"
"Mansfield Town","£3.94m",25,"2018-11-15"
"Bradford City","£4.82m",33,"2018-11-15"
"Scunthorpe United","£8.60m",25,"2018-11-15"
"Barrow AFC","£1.19m",27,"2018-11-15"
"Port Vale FC","£2.00m",28,"2018-11-15"
"Cheltenham Town","£2.43m",28,"2018-11-15"
"Exeter City","£3.31m",28,"2018-11-15"
"Carlisle United","£2.34m",27,"2018-11-15"
"Crawley Town","£2.54m",24,"2018-11-15"
"Newport County","£1.69m",23,"2018-11-15"
"Walsall FC","£3.74m",28,"2018-11-15"
"Forest Green Rovers","£2.68m",24,"2018-11-15"
"Stevenage FC","£1.58m",27,"2018-11-15"
"Cambridge United","£1.98m",28,"2018-11-15"
"Harrogate Town","£675Th.",21,"2018-11-15"
