"Team","Value","Squad size","Date"
"Hull City","£22.23m",25,"2011-05-01"
"Ipswich Town","£23.81m",28,"2011-05-01"
"Blackpool FC","£40.68m",30,"2011-05-01"
"Sunderland AFC","£106.92m",24,"2011-05-01"
"Charlton Athletic","£10.78m",29,"2011-05-01"
"Shrewsbury Town","£3.69m",26,"2011-05-01"
"Fleetwood Town","£1.04m",28,"2011-05-01"
"Milton Keynes Dons","£4.23m",20,"2011-05-01"
"Oxford United","£3.31m",23,"2011-05-01"
"Wigan Athletic","£63.90m",24,"2011-05-01"
"Swindon Town","£5.06m",25,"2011-05-01"
"Doncaster Rovers","£12.80m",30,"2011-05-01"
"Portsmouth FC","£26.37m",22,"2011-05-01"
"Burton Albion","£3.29m",27,"2011-05-01"
"Gillingham FC","£4.41m",29,"2011-05-01"
"Bristol Rovers","£7.31m",33,"2011-05-01"
"Northampton Town","£4.10m",33,"2011-05-01"
"Plymouth Argyle","£9.36m",25,"2011-05-01"
"Lincoln City","£2.99m",27,"2011-05-01"
"Peterborough United","£6.91m",28,"2011-05-01"
"Rochdale AFC","£3.98m",26,"2011-05-01"
"Crewe Alexandra","£1.67m",27,"2011-05-01"
"AFC Wimbledon","£428Th.",30,"2011-05-01"
"Accrington Stanley","£1.69m",27,"2011-05-01"
