"","Team","Value","Squad size","Date"
"1","Hull City","€42.05m",24,"2019-06-15"
"2","Ipswich Town","€20.30m",31,"2019-06-15"
"3","Blackpool FC","€4.75m",27,"2019-06-15"
"4","Sunderland AFC","€25.05m",28,"2019-06-15"
"5","Shrewsbury Town","€3.78m",30,"2019-06-15"
"6","Charlton Athletic","€7.80m",22,"2019-06-15"
"7","Fleetwood Town","€5.55m",24,"2019-06-15"
"8","Milton Keynes Dons","€6.30m",28,"2019-06-15"
"9","Oxford United","€5.05m",25,"2019-06-15"
"10","Wigan Athletic","€21.65m",26,"2019-06-15"
"11","Swindon Town","€3.40m",26,"2019-06-15"
"12","Doncaster Rovers","€2.83m",27,"2019-06-15"
"13","Portsmouth FC","€3.98m",23,"2019-06-15"
"14","Burton Albion","€5.70m",23,"2019-06-15"
"15","Gillingham FC","€2.38m",21,"2019-06-15"
"16","Bristol Rovers","€4.15m",27,"2019-06-15"
"17","Plymouth Argyle","€4.65m",29,"2019-06-15"
"18","Northampton Town","€3.65m",23,"2019-06-15"
"19","Lincoln City","€4.33m",20,"2019-06-15"
"20","Peterborough United","€4.78m",23,"2019-06-15"
"21","Rochdale AFC","€2.73m",20,"2019-06-15"
"22","Crewe Alexandra","€2.18m",23,"2019-06-15"
"23","AFC Wimbledon","€2.23m",22,"2019-06-15"
"24","Accrington Stanley","€1.88m",24,"2019-06-15"
