"","Team","Value","Squad size","Date"
"1","Hull City","€42.20m",20,"2018-07-01"
"2","Ipswich Town","€13.50m",24,"2018-07-01"
"3","Blackpool FC","€3.13m",22,"2018-07-01"
"4","Sunderland AFC","€52.20m",21,"2018-07-01"
"5","Shrewsbury Town","€2.40m",25,"2018-07-01"
"6","Charlton Athletic","€7.70m",20,"2018-07-01"
"7","Fleetwood Town","€6.00m",27,"2018-07-01"
"8","Milton Keynes Dons","€5.35m",26,"2018-07-01"
"9","Oxford United","€4.20m",23,"2018-07-01"
"10","Wigan Athletic","€10.83m",30,"2018-07-01"
"11","Swindon Town","€2.48m",21,"2018-07-01"
"12","Doncaster Rovers","€2.63m",24,"2018-07-01"
"13","Portsmouth FC","€3.55m",22,"2018-07-01"
"14","Burton Albion","€6.00m",22,"2018-07-01"
"15","Gillingham FC","€2.60m",23,"2018-07-01"
"16","Bristol Rovers","€3.10m",20,"2018-07-01"
"17","Plymouth Argyle","€4.90m",34,"2018-07-01"
"18","Northampton Town","€4.53m",22,"2018-07-01"
"19","Lincoln City","€2.70m",18,"2018-07-01"
"20","Peterborough United","€4.70m",29,"2018-07-01"
"21","Rochdale AFC","€2.90m",23,"2018-07-01"
"22","Crewe Alexandra","€1.78m",27,"2018-07-01"
"23","AFC Wimbledon","€2.48m",20,"2018-07-01"
"24","Accrington Stanley","€2.05m",22,"2018-07-01"
