"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€22.03m",36,"2015-06-01"
"2","Norwich City","€60.25m",32,"2015-06-01"
"3","Watford FC","€37.88m",34,"2015-06-01"
"4","Brentford FC","€16.35m",32,"2015-06-01"
"5","Cardiff City","€48.08m",37,"2015-06-01"
"6","Bristol City","€7.45m",20,"2015-06-01"
"7","Swansea City","€102.00m",30,"2015-06-01"
"8","Reading FC","€27.35m",30,"2015-06-01"
"9","Stoke City","€99.50m",29,"2015-06-01"
"10","Blackburn Rovers","€37.25m",29,"2015-06-01"
"11","Nottingham Forest","€35.05m",28,"2015-06-01"
"12","Middlesbrough FC","€30.58m",28,"2015-06-01"
"13","Derby County","€30.55m",29,"2015-06-01"
"14","Huddersfield Town","€13.25m",28,"2015-06-01"
"15","Birmingham City","€15.85m",32,"2015-06-01"
"16","Millwall FC","€11.50m",31,"2015-06-01"
"17","Sheffield Wednesday","€15.85m",29,"2015-06-01"
"18","Preston North End","€5.85m",27,"2015-06-01"
"19","Queens Park Rangers","€88.70m",29,"2015-06-01"
"20","Barnsley FC","€4.33m",28,"2015-06-01"
"21","Luton Town","€2.00m",30,"2015-06-01"
"22","Coventry City","€5.03m",24,"2015-06-01"
"23","Rotherham United","€10.45m",23,"2015-06-01"
"24","Wycombe Wanderers","€2.08m",19,"2015-06-01"
