"","Team","Value","Squad size","Date"
"1","Salford City","-",NA,"2011-06-01"
"2","Southend United","€3.40m",27,"2011-06-01"
"3","Bolton Wanderers","€93.15m",29,"2011-06-01"
"4","Oldham Athletic","€4.53m",29,"2011-06-01"
"5","Tranmere Rovers","€3.25m",24,"2011-06-01"
"6","Morecambe FC","€4.20m",24,"2011-06-01"
"7","Grimsby Town","-",NA,"2011-06-01"
"8","Colchester United","€7.23m",29,"2011-06-01"
"9","Leyton Orient","€6.13m",22,"2011-06-01"
"10","Mansfield Town","€1.73m",30,"2011-06-01"
"11","Bradford City","€3.18m",26,"2011-06-01"
"12","Scunthorpe United","€8.45m",28,"2011-06-01"
"13","Barrow AFC","€1.10m",26,"2011-06-01"
"14","Port Vale FC","€2.70m",23,"2011-06-01"
"15","Cheltenham Town","€1.55m",19,"2011-06-01"
"16","Exeter City","€5.10m",34,"2011-06-01"
"17","Carlisle United","€4.58m",23,"2011-06-01"
"18","Crawley Town","€2.20m",26,"2011-06-01"
"19","Newport County","€1.03m",16,"2011-06-01"
"20","Cambridge United","€975Th.",24,"2011-06-01"
"21","Walsall FC","€4.73m",25,"2011-06-01"
"22","Forest Green Rovers","€1.63m",36,"2011-06-01"
"23","Stevenage FC","€2.98m",25,"2011-06-01"
"24","Harrogate Town","€375Th.",17,"2011-06-01"
