"","Team","Value","Squad size","Date"
"1","Liverpool FC","€285.50m",23,"2014-01-15"
"2","Manchester City","€472.75m",24,"2014-01-15"
"3","Chelsea FC","€471.25m",28,"2014-01-15"
"4","Manchester United","€407.50m",29,"2014-01-15"
"5","Tottenham Hotspur","€315.50m",25,"2014-01-15"
"6","Arsenal FC","€355.50m",28,"2014-01-15"
"7","Everton FC","€175.50m",26,"2014-01-15"
"8","Leicester City","€30.20m",24,"2014-01-15"
"9","Wolverhampton Wanderers","€24.75m",30,"2014-01-15"
"10","Aston Villa","€110.00m",28,"2014-01-15"
"11","West Ham United","€96.75m",28,"2014-01-15"
"12","Newcastle United","€162.50m",24,"2014-01-15"
"13","Southampton FC","€111.25m",22,"2014-01-15"
"14","Brighton & Hove Albion","€23.98m",28,"2014-01-15"
"15","Fulham FC","€98.80m",27,"2014-01-15"
"16","Crystal Palace","€59.00m",31,"2014-01-15"
"17","Leeds United","€21.40m",29,"2014-01-15"
"18","Sheffield United","€8.08m",24,"2014-01-15"
"19","Burnley FC","€24.78m",23,"2014-01-15"
"20","West Bromwich Albion","€97.75m",27,"2014-01-15"
