"Team","Value","Squad size","Date"
"Liverpool FC","£293.40m",25,"2015-02-01"
"Manchester City","£389.93m",23,"2015-02-01"
"Chelsea FC","£399.38m",22,"2015-02-01"
"Manchester United","£424.35m",28,"2015-02-01"
"Tottenham Hotspur","£234.90m",28,"2015-02-01"
"Arsenal FC","£350.82m",27,"2015-02-01"
"Everton FC","£145.17m",24,"2015-02-01"
"Leicester City","£49.50m",27,"2015-02-01"
"Wolverhampton Wanderers","£20.63m",30,"2015-02-01"
"Aston Villa","£97.88m",26,"2015-02-01"
"West Ham United","£95.31m",24,"2015-02-01"
"Newcastle United","£113.63m",31,"2015-02-01"
"Brighton & Hove Albion","£18.54m",26,"2015-02-01"
"Southampton FC","£140.67m",26,"2015-02-01"
"Crystal Palace","£72.68m",28,"2015-02-01"
"Fulham FC","£31.46m",33,"2015-02-01"
"Leeds United","£24.55m",31,"2015-02-01"
"Sheffield United","£9.90m",31,"2015-02-01"
"Burnley FC","£36.68m",25,"2015-02-01"
"West Bromwich Albion","£72.68m",23,"2015-02-01"
