"Team","Value","Squad size","Date"
"Salford City","£630Th.",20,"2016-11-01"
"Bolton Wanderers","£14.11m",24,"2016-11-01"
"Oldham Athletic","£4.03m",25,"2016-11-01"
"Barrow AFC","£675Th.",23,"2016-11-01"
"Morecambe FC","£2.14m",22,"2016-11-01"
"Mansfield Town","£2.68m",24,"2016-11-01"
"Tranmere Rovers","£1.04m",22,"2016-11-01"
"Grimsby Town","£2.50m",28,"2016-11-01"
"Leyton Orient","£5.36m",28,"2016-11-01"
"Colchester United","£2.90m",28,"2016-11-01"
"Scunthorpe United","£4.70m",25,"2016-11-01"
"Bradford City","£5.56m",24,"2016-11-01"
"Port Vale FC","£4.88m",31,"2016-11-01"
"Crawley Town","£2.68m",24,"2016-11-01"
"Exeter City","£3.71m",31,"2016-11-01"
"Newport County","£1.87m",25,"2016-11-01"
"Southend United","£4.32m",24,"2016-11-01"
"Cheltenham Town","£1.35m",24,"2016-11-01"
"Cambridge United","£2.75m",26,"2016-11-01"
"Carlisle United","£2.66m",23,"2016-11-01"
"Stevenage FC","£2.34m",27,"2016-11-01"
"Forest Green Rovers","£2.03m",26,"2016-11-01"
"Walsall FC","£3.26m",26,"2016-11-01"
"Harrogate Town","£3.11m",51,"2016-11-01"
