"","Team","Value","Squad size","Date"
"1","Salford City","€650Th.",25,"2018-02-01"
"2","Southend United","€5.40m",26,"2018-02-01"
"3","Bolton Wanderers","€13.10m",24,"2018-02-01"
"4","Oldham Athletic","€7.18m",28,"2018-02-01"
"5","Tranmere Rovers","€1.85m",28,"2018-02-01"
"6","Morecambe FC","€2.68m",27,"2018-02-01"
"7","Grimsby Town","€3.28m",30,"2018-02-01"
"8","Colchester United","€3.03m",24,"2018-02-01"
"9","Leyton Orient","€2.63m",31,"2018-02-01"
"10","Mansfield Town","€4.25m",28,"2018-02-01"
"11","Bradford City","€5.53m",35,"2018-02-01"
"12","Scunthorpe United","€6.75m",28,"2018-02-01"
"13","Barrow AFC","€1.13m",18,"2018-02-01"
"14","Port Vale FC","€2.40m",34,"2018-02-01"
"15","Cheltenham Town","€2.75m",27,"2018-02-01"
"16","Exeter City","€4.28m",34,"2018-02-01"
"17","Carlisle United","€2.68m",27,"2018-02-01"
"18","Crawley Town","€3.03m",25,"2018-02-01"
"19","Newport County","€2.40m",26,"2018-02-01"
"20","Cambridge United","€2.60m",25,"2018-02-01"
"21","Walsall FC","€4.48m",23,"2018-02-01"
"22","Forest Green Rovers","€2.68m",33,"2018-02-01"
"23","Stevenage FC","€2.00m",29,"2018-02-01"
"24","Harrogate Town","€850Th.",24,"2018-02-01"
