"","Team","Value","Squad size","Date"
"1","Hull City","€84.85m",26,"2016-12-15"
"2","Ipswich Town","€19.35m",27,"2016-12-15"
"3","Blackpool FC","€3.45m",26,"2016-12-15"
"4","Sunderland AFC","€99.50m",25,"2016-12-15"
"5","Shrewsbury Town","€4.83m",22,"2016-12-15"
"6","Charlton Athletic","€14.60m",27,"2016-12-15"
"7","Fleetwood Town","€5.10m",30,"2016-12-15"
"8","Milton Keynes Dons","€6.55m",27,"2016-12-15"
"9","Oxford United","€4.80m",26,"2016-12-15"
"10","Wigan Athletic","€19.73m",26,"2016-12-15"
"11","Swindon Town","€4.40m",26,"2016-12-15"
"12","Doncaster Rovers","€3.50m",25,"2016-12-15"
"13","Portsmouth FC","€3.90m",27,"2016-12-15"
"14","Burton Albion","€8.90m",25,"2016-12-15"
"15","Gillingham FC","€6.38m",30,"2016-12-15"
"16","Bristol Rovers","€3.90m",31,"2016-12-15"
"17","Plymouth Argyle","€4.08m",24,"2016-12-15"
"18","Northampton Town","€4.90m",25,"2016-12-15"
"19","Lincoln City","€1.13m",25,"2016-12-15"
"20","Peterborough United","€4.48m",25,"2016-12-15"
"21","Rochdale AFC","€4.08m",27,"2016-12-15"
"22","Crewe Alexandra","€2.48m",21,"2016-12-15"
"23","AFC Wimbledon","€3.25m",23,"2016-12-15"
"24","Accrington Stanley","€3.38m",29,"2016-12-15"
