"Team","Value","Squad size","Date"
"Liverpool FC","£221.40m",25,"2011-12-15"
"Manchester City","£390.15m",25,"2011-12-15"
"Chelsea FC","£378.90m",26,"2011-12-15"
"Manchester United","£364.77m",28,"2011-12-15"
"Tottenham Hotspur","£247.10m",26,"2011-12-15"
"Arsenal FC","£262.17m",30,"2011-12-15"
"Everton FC","£127.35m",23,"2011-12-15"
"Leicester City","£34.47m",25,"2011-12-15"
"Wolverhampton Wanderers","£65.48m",22,"2011-12-15"
"Aston Villa","£117.95m",23,"2011-12-15"
"West Ham United","£65.61m",26,"2011-12-15"
"Newcastle United","£92.70m",26,"2011-12-15"
"Southampton FC","£16.58m",27,"2011-12-15"
"Brighton & Hove Albion","£12.04m",28,"2011-12-15"
"Fulham FC","£100.13m",29,"2011-12-15"
"Crystal Palace","£19.91m",34,"2011-12-15"
"Leeds United","£19.71m",26,"2011-12-15"
"Sheffield United","£15.21m",29,"2011-12-15"
"Burnley FC","£21.92m",24,"2011-12-15"
"West Bromwich Albion","£62.55m",20,"2011-12-15"
