"Team","Value","Squad size","Date"
"Liverpool FC","£284.40m",29,"2014-07-10"
"Manchester City","£443.97m",30,"2014-07-10"
"Chelsea FC","£486.63m",33,"2014-07-10"
"Manchester United","£375.57m",29,"2014-07-10"
"Tottenham Hotspur","£259.07m",30,"2014-07-10"
"Arsenal FC","£318.69m",27,"2014-07-10"
"Everton FC","£108.90m",22,"2014-07-10"
"Leicester City","£26.96m",26,"2014-07-10"
"Wolverhampton Wanderers","£22.66m",34,"2014-07-10"
"Aston Villa","£88.65m",28,"2014-07-10"
"West Ham United","£85.05m",26,"2014-07-10"
"Newcastle United","£129.15m",29,"2014-07-10"
"Southampton FC","£99.05m",22,"2014-07-10"
"Brighton & Hove Albion","£13.10m",21,"2014-07-10"
"Fulham FC","£53.60m",24,"2014-07-10"
"Crystal Palace","£45.90m",26,"2014-07-10"
"Leeds United","£14.92m",23,"2014-07-10"
"Sheffield United","£7.63m",22,"2014-07-10"
"Burnley FC","£23.76m",20,"2014-07-10"
"West Bromwich Albion","£58.01m",18,"2014-07-10"
