"Team","Value","Squad size","Date"
"Salford City","£90Th.",4,"2013-11-15"
"Southend United","£2.95m",24,"2013-11-15"
"Bolton Wanderers","£37.08m",25,"2013-11-15"
"Oldham Athletic","£4.48m",26,"2013-11-15"
"Tranmere Rovers","£3.51m",24,"2013-11-15"
"Morecambe FC","£1.96m",22,"2013-11-15"
"Grimsby Town","£1.01m",21,"2013-11-15"
"Colchester United","£3.40m",28,"2013-11-15"
"Leyton Orient","£3.80m",22,"2013-11-15"
"Mansfield Town","£1.26m",31,"2013-11-15"
"Bradford City","£6.53m",23,"2013-11-15"
"Scunthorpe United","£3.74m",26,"2013-11-15"
"Barrow AFC","£518Th.",22,"2013-11-15"
"Port Vale FC","£3.40m",23,"2013-11-15"
"Cheltenham Town","£1.96m",21,"2013-11-15"
"Exeter City","£3.40m",25,"2013-11-15"
"Carlisle United","£3.38m",24,"2013-11-15"
"Crawley Town","£2.93m",23,"2013-11-15"
"Newport County","£1.26m",24,"2013-11-15"
"Walsall FC","£2.93m",26,"2013-11-15"
"Forest Green Rovers","£1.15m",28,"2013-11-15"
"Stevenage FC","£4.23m",27,"2013-11-15"
"Cambridge United","£495Th.",25,"2013-11-15"
"Harrogate Town","£1.55m",34,"2013-11-15"
