"","Team","Value","Squad size","Date"
"1","Hull City","€33.60m",28,"2010-11-15"
"2","Ipswich Town","€23.55m",28,"2010-11-15"
"3","Blackpool FC","€26.83m",31,"2010-11-15"
"4","Sunderland AFC","€104.25m",23,"2010-11-15"
"5","Shrewsbury Town","€5.80m",28,"2010-11-15"
"6","Charlton Athletic","€10.25m",28,"2010-11-15"
"7","Fleetwood Town","€2.60m",37,"2010-11-15"
"8","Milton Keynes Dons","€6.85m",26,"2010-11-15"
"9","Oxford United","€3.45m",26,"2010-11-15"
"10","Wigan Athletic","€72.00m",23,"2010-11-15"
"11","Swindon Town","€6.03m",26,"2010-11-15"
"12","Doncaster Rovers","€12.83m",26,"2010-11-15"
"13","Portsmouth FC","€26.55m",24,"2010-11-15"
"14","Burton Albion","€3.95m",28,"2010-11-15"
"15","Gillingham FC","€5.03m",30,"2010-11-15"
"16","Bristol Rovers","€6.13m",23,"2010-11-15"
"17","Plymouth Argyle","€13.75m",30,"2010-11-15"
"18","Northampton Town","€3.68m",24,"2010-11-15"
"19","Lincoln City","€3.60m",29,"2010-11-15"
"20","Peterborough United","€8.58m",25,"2010-11-15"
"21","Rochdale AFC","€4.05m",28,"2010-11-15"
"22","Crewe Alexandra","€2.20m",26,"2010-11-15"
"23","AFC Wimbledon","€325Th.",26,"2010-11-15"
"24","Accrington Stanley","€1.50m",26,"2010-11-15"
