"Team","Value","Squad size","Date"
"Salford City","£45Th.",3,"2013-09-15"
"Bolton Wanderers","£37.08m",23,"2013-09-15"
"Oldham Athletic","£4.43m",26,"2013-09-15"
"Barrow AFC","£518Th.",22,"2013-09-15"
"Morecambe FC","£1.96m",22,"2013-09-15"
"Mansfield Town","£1.22m",28,"2013-09-15"
"Tranmere Rovers","£2.50m",21,"2013-09-15"
"Grimsby Town","£833Th.",20,"2013-09-15"
"Leyton Orient","£3.44m",21,"2013-09-15"
"Colchester United","£3.44m",24,"2013-09-15"
"Scunthorpe United","£3.60m",26,"2013-09-15"
"Bradford City","£5.24m",21,"2013-09-15"
"Port Vale FC","£3.44m",22,"2013-09-15"
"Crawley Town","£2.70m",23,"2013-09-15"
"Exeter City","£3.11m",23,"2013-09-15"
"Newport County","£1.26m",24,"2013-09-15"
"Southend United","£2.95m",24,"2013-09-15"
"Cheltenham Town","£2.18m",23,"2013-09-15"
"Cambridge United","£495Th.",25,"2013-09-15"
"Carlisle United","£3.17m",23,"2013-09-15"
"Stevenage FC","£3.83m",23,"2013-09-15"
"Forest Green Rovers","£1.19m",29,"2013-09-15"
"Walsall FC","£2.52m",25,"2013-09-15"
"Harrogate Town","£1.55m",34,"2013-09-15"
