"Team","Value","Squad size","Date"
"Salford City","-",0,"2012-03-01"
"Southend United","£4.03m",29,"2012-03-01"
"Bolton Wanderers","£72.90m",28,"2012-03-01"
"Oldham Athletic","£4.05m",27,"2012-03-01"
"Tranmere Rovers","£3.11m",25,"2012-03-01"
"Morecambe FC","£2.95m",29,"2012-03-01"
"Grimsby Town","£1.33m",24,"2012-03-01"
"Colchester United","£7.40m",25,"2012-03-01"
"Leyton Orient","£5.87m",24,"2012-03-01"
"Mansfield Town","£1.87m",25,"2012-03-01"
"Bradford City","£5.40m",33,"2012-03-01"
"Scunthorpe United","£5.36m",26,"2012-03-01"
"Barrow AFC","£675Th.",23,"2012-03-01"
"Port Vale FC","£2.39m",26,"2012-03-01"
"Cheltenham Town","£2.66m",23,"2012-03-01"
"Exeter City","£3.44m",27,"2012-03-01"
"Carlisle United","£5.92m",24,"2012-03-01"
"Crawley Town","£3.33m",24,"2012-03-01"
"Newport County","£473Th.",27,"2012-03-01"
"Walsall FC","£4.41m",23,"2012-03-01"
"Forest Green Rovers","£2.00m",27,"2012-03-01"
"Stevenage FC","£2.43m",22,"2012-03-01"
"Cambridge United","£315Th.",23,"2012-03-01"
"Harrogate Town","£743Th.",23,"2012-03-01"
