"Team","Value","Squad size","Date"
"Salford City","£720Th.",14,"2015-09-15"
"Bolton Wanderers","£17.89m",30,"2015-09-15"
"Oldham Athletic","£4.82m",30,"2015-09-15"
"Barrow AFC","£1.22m",22,"2015-09-15"
"Morecambe FC","£1.64m",25,"2015-09-15"
"Mansfield Town","£2.52m",25,"2015-09-15"
"Tranmere Rovers","£1.17m",26,"2015-09-15"
"Grimsby Town","£1.37m",23,"2015-09-15"
"Leyton Orient","£3.20m",21,"2015-09-15"
"Colchester United","£5.42m",29,"2015-09-15"
"Scunthorpe United","£4.52m",25,"2015-09-15"
"Bradford City","£7.83m",30,"2015-09-15"
"Port Vale FC","£3.13m",27,"2015-09-15"
"Crawley Town","£2.32m",19,"2015-09-15"
"Exeter City","£3.92m",26,"2015-09-15"
"Newport County","£945Th.",21,"2015-09-15"
"Southend United","£3.60m",26,"2015-09-15"
"Cheltenham Town","£563Th.",28,"2015-09-15"
"Cambridge United","£2.36m",26,"2015-09-15"
"Carlisle United","£1.98m",25,"2015-09-15"
"Stevenage FC","£2.05m",27,"2015-09-15"
"Forest Green Rovers","£1.40m",24,"2015-09-15"
"Walsall FC","£3.49m",24,"2015-09-15"
"Harrogate Town","£2.77m",44,"2015-09-15"
