"Team","Value","Squad size","Date"
"Hull City","£53.42m",24,"2017-08-01"
"Ipswich Town","£18.32m",25,"2017-08-01"
"Blackpool FC","£3.74m",29,"2017-08-01"
"Sunderland AFC","£71.33m",24,"2017-08-01"
"Shrewsbury Town","£2.41m",24,"2017-08-01"
"Charlton Athletic","£8.64m",24,"2017-08-01"
"Fleetwood Town","£4.19m",29,"2017-08-01"
"Milton Keynes Dons","£7.74m",27,"2017-08-01"
"Oxford United","£4.79m",28,"2017-08-01"
"Wigan Athletic","£12.42m",28,"2017-08-01"
"Swindon Town","£2.36m",22,"2017-08-01"
"Doncaster Rovers","£2.16m",22,"2017-08-01"
"Portsmouth FC","£4.28m",28,"2017-08-01"
"Burton Albion","£7.74m",21,"2017-08-01"
"Gillingham FC","£3.02m",24,"2017-08-01"
"Bristol Rovers","£2.30m",22,"2017-08-01"
"Plymouth Argyle","£3.89m",21,"2017-08-01"
"Northampton Town","£4.68m",25,"2017-08-01"
"Lincoln City","£1.19m",21,"2017-08-01"
"Peterborough United","£4.16m",26,"2017-08-01"
"Rochdale AFC","£3.15m",26,"2017-08-01"
"Crewe Alexandra","£1.91m",22,"2017-08-01"
"AFC Wimbledon","£3.49m",22,"2017-08-01"
"Accrington Stanley","£1.69m",17,"2017-08-01"
