"","Team","Value","Squad size","Date"
"1","Liverpool FC","€235.00m",24,"2012-07-01"
"2","Manchester City","€483.25m",28,"2012-07-01"
"3","Chelsea FC","€373.50m",27,"2012-07-01"
"4","Manchester United","€391.75m",30,"2012-07-01"
"5","Tottenham Hotspur","€277.00m",30,"2012-07-01"
"6","Arsenal FC","€312.25m",31,"2012-07-01"
"7","Everton FC","€129.00m",23,"2012-07-01"
"8","Leicester City","€30.80m",27,"2012-07-01"
"9","Wolverhampton Wanderers","€70.75m",27,"2012-07-01"
"10","Aston Villa","€106.25m",24,"2012-07-01"
"11","West Ham United","€57.55m",25,"2012-07-01"
"12","Newcastle United","€144.50m",30,"2012-07-01"
"13","Southampton FC","€32.95m",31,"2012-07-01"
"14","Brighton & Hove Albion","€17.70m",28,"2012-07-01"
"15","Fulham FC","€94.50m",31,"2012-07-01"
"16","Crystal Palace","€19.83m",30,"2012-07-01"
"17","Leeds United","€18.00m",25,"2012-07-01"
"18","Sheffield United","€12.95m",28,"2012-07-01"
"19","Burnley FC","€24.73m",26,"2012-07-01"
"20","West Bromwich Albion","€63.75m",27,"2012-07-01"
