"Team","Value","Squad size","Date"
"Liverpool FC","£1.07bn",24,"2020-02-01"
"Manchester City","£1.16bn",24,"2020-02-01"
"Chelsea FC","£758.93m",25,"2020-02-01"
"Manchester United","£720.68m",26,"2020-02-01"
"Tottenham Hotspur","£800.55m",24,"2020-02-01"
"Arsenal FC","£625.10m",27,"2020-02-01"
"Everton FC","£428.13m",24,"2020-02-01"
"Leicester City","£451.13m",26,"2020-02-01"
"Wolverhampton Wanderers","£302.36m",25,"2020-02-01"
"Aston Villa","£235.26m",27,"2020-02-01"
"West Ham United","£322.88m",26,"2020-02-01"
"Newcastle United","£277.94m",31,"2020-02-01"
"Brighton & Hove Albion","£210.38m",27,"2020-02-01"
"Southampton FC","£199.80m",22,"2020-02-01"
"Crystal Palace","£207.05m",23,"2020-02-01"
"Fulham FC","£132.53m",29,"2020-02-01"
"Leeds United","£84.24m",26,"2020-02-01"
"Sheffield United","£128.57m",27,"2020-02-01"
"Burnley FC","£173.93m",24,"2020-02-01"
"West Bromwich Albion","£87.12m",28,"2020-02-01"
