"","Team","Value","Squad size","Date"
"1","Salford City","€525Th.",10,"2014-12-01"
"2","Southend United","€3.18m",25,"2014-12-01"
"3","Bolton Wanderers","€28.95m",28,"2014-12-01"
"4","Oldham Athletic","€5.45m",27,"2014-12-01"
"5","Tranmere Rovers","€3.03m",26,"2014-12-01"
"6","Morecambe FC","€2.28m",25,"2014-12-01"
"7","Grimsby Town","€875Th.",23,"2014-12-01"
"8","Colchester United","€3.28m",28,"2014-12-01"
"9","Leyton Orient","€8.70m",26,"2014-12-01"
"10","Mansfield Town","€2.18m",26,"2014-12-01"
"11","Bradford City","€5.45m",23,"2014-12-01"
"12","Scunthorpe United","€5.45m",30,"2014-12-01"
"13","Barrow AFC","€1.03m",26,"2014-12-01"
"14","Port Vale FC","€3.88m",25,"2014-12-01"
"15","Cheltenham Town","€2.33m",25,"2014-12-01"
"16","Exeter City","€2.75m",24,"2014-12-01"
"17","Carlisle United","€3.95m",25,"2014-12-01"
"18","Crawley Town","€3.83m",23,"2014-12-01"
"19","Newport County","€1.68m",25,"2014-12-01"
"20","Cambridge United","€2.25m",27,"2014-12-01"
"21","Walsall FC","€3.23m",26,"2014-12-01"
"22","Forest Green Rovers","€2.23m",23,"2014-12-01"
"23","Stevenage FC","€2.25m",27,"2014-12-01"
"24","Harrogate Town","€2.38m",38,"2014-12-01"
