"Team","Value","Squad size","Date"
"Ipswich Town","£15.84m",24,"2012-05-15"
"Hull City","£15.75m",29,"2012-05-15"
"Sunderland AFC","£102.83m",26,"2012-05-15"
"Blackpool FC","£21.15m",28,"2012-05-15"
"Charlton Athletic","£9.47m",27,"2012-05-15"
"Milton Keynes Dons","£5.09m",21,"2012-05-15"
"Portsmouth FC","£12.42m",24,"2012-05-15"
"Fleetwood Town","£743Th.",33,"2012-05-15"
"Shrewsbury Town","£3.47m",23,"2012-05-15"
"Swindon Town","£4.79m",31,"2012-05-15"
"Oxford United","£4.91m",28,"2012-05-15"
"Wigan Athletic","£65.70m",26,"2012-05-15"
"Lincoln City","£2.00m",35,"2012-05-15"
"Doncaster Rovers","£11.68m",28,"2012-05-15"
"Gillingham FC","£4.01m",29,"2012-05-15"
"Bristol Rovers","£4.52m",26,"2012-05-15"
"Plymouth Argyle","£4.34m",29,"2012-05-15"
"Burton Albion","£3.06m",29,"2012-05-15"
"Crewe Alexandra","£1.13m",28,"2012-05-15"
"Northampton Town","£4.01m",26,"2012-05-15"
"Peterborough United","£7.45m",19,"2012-05-15"
"Rochdale AFC","£4.21m",29,"2012-05-15"
"AFC Wimbledon","£743Th.",25,"2012-05-15"
"Accrington Stanley","£1.64m",21,"2012-05-15"
