"","Team","Value","Squad size","Date"
"1","Hull City","€25.40m",24,"2011-03-15"
"2","Ipswich Town","€28.20m",29,"2011-03-15"
"3","Blackpool FC","€45.20m",30,"2011-03-15"
"4","Sunderland AFC","€118.85m",25,"2011-03-15"
"5","Shrewsbury Town","€4.95m",27,"2011-03-15"
"6","Charlton Athletic","€11.38m",31,"2011-03-15"
"7","Fleetwood Town","€1.58m",30,"2011-03-15"
"8","Milton Keynes Dons","€6.33m",21,"2011-03-15"
"9","Oxford United","€3.75m",24,"2011-03-15"
"10","Wigan Athletic","€71.00m",24,"2011-03-15"
"11","Swindon Town","€6.58m",28,"2011-03-15"
"12","Doncaster Rovers","€14.48m",32,"2011-03-15"
"13","Portsmouth FC","€29.35m",23,"2011-03-15"
"14","Burton Albion","€4.90m",27,"2011-03-15"
"15","Gillingham FC","€4.78m",28,"2011-03-15"
"16","Bristol Rovers","€7.48m",30,"2011-03-15"
"17","Plymouth Argyle","€10.45m",25,"2011-03-15"
"18","Northampton Town","€4.65m",33,"2011-03-15"
"19","Lincoln City","€3.68m",25,"2011-03-15"
"20","Peterborough United","€7.73m",27,"2011-03-15"
"21","Rochdale AFC","€4.48m",27,"2011-03-15"
"22","Crewe Alexandra","€1.80m",27,"2011-03-15"
"23","AFC Wimbledon","€725Th.",31,"2011-03-15"
"24","Accrington Stanley","€1.88m",27,"2011-03-15"
