"Team","Value","Squad size","Date"
"Hull City","£43.16m",26,"2019-03-01"
"Ipswich Town","£21.02m",32,"2019-03-01"
"Blackpool FC","£4.61m",28,"2019-03-01"
"Sunderland AFC","£22.95m",28,"2019-03-01"
"Shrewsbury Town","£3.98m",30,"2019-03-01"
"Charlton Athletic","£9.72m",25,"2019-03-01"
"Fleetwood Town","£6.21m",22,"2019-03-01"
"Milton Keynes Dons","£6.12m",27,"2019-03-01"
"Oxford United","£7.38m",26,"2019-03-01"
"Wigan Athletic","£23.99m",30,"2019-03-01"
"Swindon Town","£3.49m",30,"2019-03-01"
"Doncaster Rovers","£2.70m",28,"2019-03-01"
"Portsmouth FC","£4.93m",27,"2019-03-01"
"Burton Albion","£5.09m",26,"2019-03-01"
"Gillingham FC","£3.98m",28,"2019-03-01"
"Bristol Rovers","£3.58m",26,"2019-03-01"
"Plymouth Argyle","£4.91m",28,"2019-03-01"
"Northampton Town","£3.53m",26,"2019-03-01"
"Lincoln City","£4.93m",26,"2019-03-01"
"Peterborough United","£7.07m",28,"2019-03-01"
"Rochdale AFC","£5.06m",27,"2019-03-01"
"Crewe Alexandra","£2.12m",23,"2019-03-01"
"AFC Wimbledon","£2.75m",28,"2019-03-01"
"Accrington Stanley","£2.54m",27,"2019-03-01"
