"Team","Value","Squad size","Date"
"Liverpool FC","£991.08m",28,"2020-10-15"
"Manchester City","£971.64m",26,"2020-10-15"
"Chelsea FC","£760.41m",29,"2020-10-15"
"Manchester United","£719.87m",30,"2020-10-15"
"Tottenham Hotspur","£660.20m",29,"2020-10-15"
"Arsenal FC","£568.76m",31,"2020-10-15"
"Everton FC","£463.41m",32,"2020-10-15"
"Leicester City","£429.48m",29,"2020-10-15"
"Wolverhampton Wanderers","£352.71m",24,"2020-10-15"
"Aston Villa","£280.62m",26,"2020-10-15"
"West Ham United","£239.36m",22,"2020-10-15"
"Newcastle United","£244.89m",31,"2020-10-15"
"Brighton & Hove Albion","£202.77m",27,"2020-10-15"
"Southampton FC","£200.97m",27,"2020-10-15"
"Crystal Palace","£199.10m",29,"2020-10-15"
"Fulham FC","£195.53m",32,"2020-10-15"
"Leeds United","£164.86m",30,"2020-10-15"
"Sheffield United","£158.45m",31,"2020-10-15"
"Burnley FC","£136.87m",25,"2020-10-15"
"West Bromwich Albion","£95.00m",28,"2020-10-15"
