"","Team","Value","Squad size","Date"
"1","Liverpool FC","€371.20m",26,"2017-04-01"
"2","Manchester City","€525.25m",24,"2017-04-01"
"3","Chelsea FC","€515.00m",25,"2017-04-01"
"4","Manchester United","€466.00m",24,"2017-04-01"
"5","Tottenham Hotspur","€429.00m",24,"2017-04-01"
"6","Arsenal FC","€492.00m",27,"2017-04-01"
"7","Everton FC","€249.10m",25,"2017-04-01"
"8","Leicester City","€205.30m",25,"2017-04-01"
"9","Wolverhampton Wanderers","€52.50m",27,"2017-04-01"
"10","Aston Villa","€83.50m",26,"2017-04-01"
"11","West Ham United","€209.40m",27,"2017-04-01"
"12","Newcastle United","€126.25m",28,"2017-04-01"
"13","Southampton FC","€230.00m",29,"2017-04-01"
"14","Brighton & Hove Albion","€50.10m",27,"2017-04-01"
"15","Fulham FC","€54.55m",23,"2017-04-01"
"16","Crystal Palace","€186.75m",28,"2017-04-01"
"17","Leeds United","€41.30m",26,"2017-04-01"
"18","Sheffield United","€7.80m",26,"2017-04-01"
"19","Burnley FC","€85.00m",23,"2017-04-01"
"20","West Bromwich Albion","€98.60m",21,"2017-04-01"
