"","Team","Value","Squad size","Date"
"1","Liverpool FC","€912.50m",32,"2018-08-01"
"2","Manchester City","€1.06bn",30,"2018-08-01"
"3","Chelsea FC","€959.00m",36,"2018-08-01"
"4","Manchester United","€848.00m",30,"2018-08-01"
"5","Tottenham Hotspur","€834.50m",28,"2018-08-01"
"6","Arsenal FC","€582.20m",31,"2018-08-01"
"7","Everton FC","€348.50m",30,"2018-08-01"
"8","Leicester City","€303.00m",30,"2018-08-01"
"9","Wolverhampton Wanderers","€136.80m",32,"2018-08-01"
"10","Aston Villa","€75.30m",25,"2018-08-01"
"11","West Ham United","€307.50m",30,"2018-08-01"
"12","Newcastle United","€157.70m",27,"2018-08-01"
"13","Southampton FC","€228.85m",27,"2018-08-01"
"14","Brighton & Hove Albion","€169.10m",30,"2018-08-01"
"15","Fulham FC","€146.50m",22,"2018-08-01"
"16","Crystal Palace","€179.33m",24,"2018-08-01"
"17","Leeds United","€65.35m",29,"2018-08-01"
"18","Sheffield United","€14.05m",22,"2018-08-01"
"19","Burnley FC","€156.75m",24,"2018-08-01"
"20","West Bromwich Albion","€113.85m",21,"2018-08-01"
