"","Team","Value","Squad size","Date"
"1","Salford City","€50Th.",3,"2013-03-01"
"2","Southend United","€4.43m",28,"2013-03-01"
"3","Bolton Wanderers","€58.85m",32,"2013-03-01"
"4","Oldham Athletic","€4.38m",28,"2013-03-01"
"5","Tranmere Rovers","€2.70m",24,"2013-03-01"
"6","Morecambe FC","€2.48m",23,"2013-03-01"
"7","Grimsby Town","€1.90m",23,"2013-03-01"
"8","Colchester United","€5.23m",26,"2013-03-01"
"9","Leyton Orient","€5.23m",21,"2013-03-01"
"10","Mansfield Town","€2.73m",28,"2013-03-01"
"11","Bradford City","€5.58m",26,"2013-03-01"
"12","Scunthorpe United","€4.15m",24,"2013-03-01"
"13","Barrow AFC","€1.00m",21,"2013-03-01"
"14","Port Vale FC","€3.73m",24,"2013-03-01"
"15","Cheltenham Town","€2.25m",20,"2013-03-01"
"16","Exeter City","€4.20m",28,"2013-03-01"
"17","Carlisle United","€3.73m",22,"2013-03-01"
"18","Crawley Town","€2.93m",24,"2013-03-01"
"19","Newport County","€2.13m",26,"2013-03-01"
"20","Cambridge United","€700Th.",23,"2013-03-01"
"21","Walsall FC","€3.50m",23,"2013-03-01"
"22","Forest Green Rovers","€1.50m",27,"2013-03-01"
"23","Stevenage FC","€6.15m",25,"2013-03-01"
"24","Harrogate Town","€1.58m",34,"2013-03-01"
